,L15-0298,HoCP18-0801,L23-0139,L21-0087,L01-0299,L20-0065,Ho06-0563,Ho17-0776,Ho11-9406,L13-0243,HoCP09-0804,L14-0264,L22-0123,L14-0276,L23-0146,L19-0021,HoCP00-0950,L19-0006,L15-0320,HoCP04-0838,LCP81-0010,HoCP14-0885,L23-0159,HoCP85-0845,L23-0156,L14-0273,Ho15-0964,L05-0457,L99-0226,L23-0149,L21-0095,L15-0306,Ho09-9402,Ho07-0613,L99-0233,HoCP18-0803,L14-0266,L14-0269,L14-0265,L23-0137,CP83-0644,HoCP96-0540,L07-0057,HoCP01-0523,Ho09-9401,Ho13-0705,L14-0282,Ho11-0532,Ho09-0827,HoCP17-0701,Ho08-0730,L03-0371,Ho12-0615,Ho09-0840,Ho09-0832,L22-0115,L22-0124,L23-0165,L09-0123,L23-0153,Ho95-0988,L10-0147,L09-0099,HoCP02-0618,LCP85-0384,LCP86-0454,L14-0275,L13-0251,L11-0187,HoL15-0508,Ho08-0717,HoCP97-0609,HoCP92-0624,L22-0134,L23-0163,Ho12-0630,L22-0106,HoCP01-0517,L14-0267,L23-0136,Ho11-0573,L23-0144,Ho18-0878,L22-0133,L11-0183,N39,Ho16-0600,L22-0107,Ho16-0608,L08-0090,HoCP14-0802,HoCP04-0847,L10-0146,HoCP18-0846,L09-0112,L23-0155,Ho17-0738,L20-0037,L94-0426,L15-0337,Ho13-0739,Ho15-0971,L12-0202,L06-0001,L12-0201,HoCP91-0552,HoCP09-0814,L22-0131
L15-0298,1,0.155379653,0.135575533,0.166698389,0.16440019,0.218381375,0.161074325,0.129486438,0.102825537,0.084078617,0.139047503,0.1945761,0.120965041,0.189083323,0.042039309,0.206815332,0.153297186,0.228478417,0,0.173135161,0.120182276,0.130869575,0.135575533,0.157672942,0.111503907,0.158256307,0.132869057,0.173941299,0.205651075,0.156522922,0.10814973,0.154781446,0.204765767,0.171643093,0.139104545,0.129409581,0.192750752,0.175059944,0.157168433,0.081180178,0.145162702,0.177408069,0.162360355,0.078836471,0.168654243,0.082200095,0.102825537,0.178895026,0.096285805,0.1769097,0.139116213,0.188754261,0.161074325,0.060091138,0.091280624,0.120965041,0.206815332,0.188675828,0.148388743,0.18204264,0.136987776,0,0.172647044,0.199258536,0.188597381,0.166218758,0,0.16350162,0.116066828,0.154781446,0.170460664,0.155700415,0.274526119,0.205887467,0.133612864,0.133752063,0.206815332,0.231111676,0.127248123,0.156522922,0.161074325,0.137590416,0.123359419,0.194725063,0.23156175,0,0.11390429,0.151274562,0.163087089,0.175843313,0.368485183,0.136928797,0,0.200571019,0.130633593,0.08697065,0.150432996,0.173254177,0.060091138,0.169170745,0.119969912,0.132869057,0.159720406,0.174865261,0.165898949,0.146035552,0.190325275,0.15844442
HoCP18-0801,0.155379653,1.142957896,0.319992922,0.349305578,0.323332071,0.382245049,0.302214935,0.269102119,0.273857579,0.16251836,0.261154935,0.449045286,0.245167308,0.344569385,0.08125918,0.255172789,0.359044552,0.313475206,0,0.337529749,0.181455851,0.438199811,0.319992922,0.278765082,0.227656715,0.356558159,0.264346085,0.310574368,0.547715157,0.263525702,0.180457301,0.333162427,0.262006313,0.719410732,0.216477036,0.233364269,0.252825037,0.322808981,0.362453297,0.142173029,0.342992783,0.496639282,0.284346059,0.139382541,0.263137642,0.161666036,0.273857579,0.345028847,0.193468094,0.385974534,0.680332109,0.350637794,0.357251897,0.090727925,0.176239625,0.245167308,0.255172789,0.28386306,0.247621059,0.355658207,0.222905546,0,0.298550263,0.382927328,0.396294415,0.3768363,0,0.401334308,0.249213547,0.333162427,0.337410718,0.328927785,0.293868542,0.431702405,0.298594825,0.326814085,0.255172789,0.21677494,0.24016048,0.263525702,0.302214935,0.269248471,0.18897463,0.361497339,0.345081478,0,0.232398339,0.331244621,0.298989944,0.380944178,0.263618171,0.228267312,0,0.337787572,0.236232206,0.155287184,0.306758054,0.582964242,0.090727925,0.316953219,0.227876961,0.264346085,0.282191589,0.446517751,0.392757207,0.214173198,0.355275765,0.322322443
L23-0139,0.135575533,0.319992922,1.128095243,0.387700139,0.408207782,0.269964814,0.302515876,0.206932793,0.171348695,0.160176964,0.251841992,0.352963809,0.183158422,0.351710517,0.080088482,0.222904079,0.275433004,0.30149686,0,0.353047222,0.168245494,0.33620541,0.670999411,0.237824693,0.169797095,0.358866069,0.318400992,0.296030056,0.342697389,0.245499102,0.17704848,0.373134043,0.221769072,0.411542106,0.194968149,0.228899725,0.257744931,0.392203443,0.356215995,0.139711803,0.228380173,0.52276399,0.279423606,0.118912347,0.254087381,0.258943956,0.171348695,0.358692341,0.639200542,0.371122751,0.228443738,0.266105011,0.357552838,0.084122747,0.305554729,0.183158422,0.222904079,0.211094351,0.216396421,0.346812117,0.227423929,0,0.28974561,0.384771638,0.46826975,0.357110381,0,0.35132508,0.197172675,0.373134043,0.349916345,0.335210137,0.250840008,0.322696976,0.289778238,0.391816352,0.222904079,0.197232239,0.389378313,0.245499102,0.302515876,0.498946441,0.162535874,0.347465004,0.359554879,0,0.228175072,0.301583536,0.270295032,0.268708486,0.233059607,0.189668,0,0.285365255,0.235533029,0.148015028,0.257191977,0.557170194,0.084122747,0.406958984,0.227808999,0.318400992,0.276508566,0.702798281,0.420510806,0.194719583,0.344087485,0.31636228
L21-0087,0.166698389,0.349305578,0.387700139,1.132374108,0.37767496,0.340686578,0.696883023,0.258630227,0.228196323,0.172826499,0.272112139,0.414634619,0.234787911,0.37075315,0.086413249,0.274595484,0.368847489,0.332848534,0,0.357591525,0.206296682,0.287927963,0.387700139,0.288715452,0.217246503,0.32522127,0.259217557,0.329062134,0.456392646,0.285220817,0.199785285,0.319367524,0.273009196,0.40514981,0.241379499,0.284919029,0.270681325,0.351974178,0.321276441,0.154438451,0.261060089,0.409063041,0.308876902,0.144357726,0.276505813,0.18883748,0.228196323,0.48667866,0.219851848,0.356223855,0.293461345,0.316685304,0.42700538,0.103148341,0.189205438,0.234787911,0.274595484,0.268003896,0.265047476,0.42571792,0.278101876,0,0.323122188,0.399866551,0.426467597,0.391658485,0,0.36412986,0.256602608,0.319367524,0.356419422,0.337270677,0.307811469,0.405848712,0.302935641,0.289884578,0.274595484,0.224980511,0.274190538,0.285220817,0.482042342,0.353265254,0.190416489,0.340889478,0.367139533,0,0.22295551,0.318120999,0.492369024,0.351385236,0.287388138,0.233489841,0,0.312378848,0.251121663,0.164531067,0.412086517,0.48034912,0.103148341,0.353368547,0.24083313,0.259217557,0.303081617,0.555548429,0.362722591,0.246377826,0.43078712,0.312179029
L01-0299,0.16440019,0.323332071,0.408207782,0.37767496,1.129354656,0.316392198,0.374778613,0.235848468,0.174246147,0.196903504,0.327401549,0.424735099,0.211603768,0.72541669,0.098451752,0.279597074,0.256449938,0.400136337,0,0.490082204,0.212420225,0.280538447,0.408207782,0.279052436,0.193333186,0.383082941,0.28633935,0.391728505,0.348492295,0.320344947,0.238672219,0.500039876,0.264029354,0.39505659,0.248961389,0.288719378,0.3705291,0.495449856,0.365524456,0.183867507,0.30944562,0.517204493,0.367735013,0.139526218,0.330225762,0.345317066,0.174246147,0.410869449,0.367527664,0.460754365,0.251607552,0.327480555,0.374778613,0.106210113,0.250593647,0.211603768,0.279597074,0.242239453,0.264006913,0.384830471,0.291799337,0,0.381117865,0.515276879,0.701111972,0.333297014,0,0.360039368,0.197988078,0.500039876,0.483511411,0.466284126,0.310232759,0.367402047,0.651800402,0.341612399,0.279597074,0.284292102,0.428327218,0.320344947,0.374778613,0.389198557,0.205730148,0.379769895,0.505672365,0,0.253781818,0.343720458,0.333502274,0.297725573,0.288880885,0.213844419,0,0.340644088,0.314783067,0.195864253,0.276177578,0.421972245,0.106210113,0.541181318,0.306785546,0.28633935,0.363848552,0.4488879,0.486985296,0.246958852,0.431539088,0.364686504
L20-0065,0.218381375,0.382245049,0.269964814,0.340686578,0.316392198,1.14177005,0.256970532,0.282408567,0.362818442,0.137677472,0.230210394,0.512874104,0.308812615,0.329155304,0.068838736,0.338653579,0.382480741,0.361830808,0,0.285206437,0.26410687,0.248065155,0.269964814,0.274771899,0.313462656,0.267855309,0.222048018,0.304419167,0.725636885,0.279612977,0.197371874,0.296986796,0.33187072,0.332276307,0.254806787,0.238021441,0.479321569,0.312368676,0.258944876,0.146056715,0.277581394,0.280903831,0.292113431,0.137385949,0.264001708,0.158196099,0.362818442,0.325877383,0.187276401,0.295349456,0.432213791,0.313418776,0.256970532,0.132053435,0.169017263,0.308812615,0.338653579,0.392659407,0.264789343,0.324132027,0.254770115,0,0.298906691,0.323034838,0.295640975,0.266166687,0,0.300535247,0.259933345,0.296986796,0.284616563,0.267621472,0.422500372,0.525776222,0.33960532,0.222378917,0.338653579,0.678769216,0.240123101,0.279612977,0.256970532,0.256576892,0.303316716,0.401111597,0.359070674,0,0.197629351,0.26537282,0.27221605,0.500207715,0.345784768,0.236985922,0,0.405318258,0.219273597,0.152209584,0.305454824,0.342464767,0.132053435,0.310405683,0.201668855,0.222048018,0.293570854,0.352653228,0.280388877,0.274778545,0.348657824,0.276257865
Ho06-0563,0.161074325,0.302214935,0.302515876,0.696883023,0.374778613,0.256970532,1.12901783,0.214050047,0.146911144,0.197919607,0.280732706,0.351121701,0.184174299,0.360592358,0.098959804,0.262594551,0.247436762,0.35236904,0,0.395059496,0.178201199,0.272181228,0.302515876,0.261693418,0.162556171,0.370375693,0.27675005,0.315734088,0.293822289,0.268585771,0.199047074,0.303318404,0.257353932,0.399554178,0.221437454,0.309320774,0.286716081,0.339414187,0.368533641,0.158354133,0.231858194,0.519313931,0.316708267,0.130846709,0.285605687,0.187389307,0.146911144,0.446299195,0.213000678,0.397355534,0.204875693,0.300375789,0.589262545,0.089100599,0.202268064,0.184174299,0.262594551,0.225331396,0.241565436,0.395681113,0.212769777,0,0.337921709,0.430618703,0.528425574,0.510202289,0,0.384034939,0.189141735,0.303318404,0.392559424,0.37400496,0.303751647,0.30983752,0.260844879,0.332061104,0.262594551,0.220118776,0.259793445,0.268585771,0.699336469,0.329649936,0.177822955,0.357389692,0.416088611,0,0.24054721,0.332383823,0.699592423,0.269523501,0.271793053,0.217753351,0,0.311733309,0.265916571,0.157867044,0.40012145,0.395792626,0.089100599,0.345256351,0.254883848,0.27675005,0.304409951,0.392031074,0.436313659,0.245224714,0.51225666,0.336471796
Ho17-0776,0.129486438,0.269102119,0.206932793,0.258630227,0.235848468,0.282408567,0.214050047,1.110267399,0.158687621,0.126409959,0.240595575,0.288997443,0.29518187,0.295415794,0.06320498,0.33462248,0.302298486,0.251999989,0,0.278004639,0.254266739,0.238129091,0.206932793,0.316871151,0.20647718,0.33195553,0.192661507,0.2834078,0.317375243,0.35754196,0.277513668,0.230379118,0.252161019,0.323289175,0.43167612,0.17894921,0.247072162,0.285887802,0.236646593,0.129779745,0.224909768,0.23223494,0.25955949,0.158435576,0.220286376,0.117924234,0.158687621,0.286146678,0.146142913,0.249416968,0.214915063,0.279045664,0.214050047,0.127133369,0.151569895,0.29518187,0.33462248,0.198128231,0.374273635,0.276979586,0.226431377,0,0.322935224,0.322755575,0.239138126,0.225331753,0,0.257375663,0.230367031,0.230379118,0.268126916,0.273238882,0.23756884,0.2903805,0.197268045,0.192601973,0.33462248,0.247441892,0.194408737,0.35754196,0.214050047,0.216144796,0.200799096,0.253825455,0.238353483,0,0.245780062,0.248985619,0.242197133,0.320245057,0.345324498,0.241058245,0,0.2812093,0.212433357,0.1417039,0.243152797,0.295505924,0.127133369,0.259628134,0.210225364,0.192661507,0.288511157,0.267722674,0.239468686,0.323114872,0.244682731,0.262578875
Ho11-9406,0.102825537,0.273857579,0.171348695,0.228196323,0.174246147,0.362818442,0.146911144,0.158687621,1,0.079657972,0.138793245,0.381223761,0.567212462,0.191248037,0.039828986,0.171632916,0.254230261,0.187408119,0,0.166700155,0.116451263,0.158539459,0.171348695,0.162594497,0.558225632,0.148212314,0.127545394,0.173756123,0.583866835,0.154090524,0.103119597,0.1618715,0.174420029,0.218407527,0.134424925,0.145369176,0.142699294,0.17983418,0.147618741,0.079398006,0.149496853,0.161999702,0.158796012,0.081297249,0.146827021,0.087123074,0.291933417,0.208470643,0.106956787,0.168602534,0.329307631,0.177667648,0.146911144,0.058225632,0.091647983,0.567212462,0.171632916,0.604420453,0.148509711,0.20488508,0.151744336,0,0.165248007,0.196289241,0.170805812,0.153193593,0,0.182877935,0.167763755,0.1618715,0.168248355,0.158654213,0.208840907,0.389680147,0.233089782,0.130335547,0.171632916,0.14177005,0.136458769,0.154090524,0.146911144,0.157713715,0.112033993,0.176592197,0.189823359,0,0.107712388,0.16083559,0.155671712,0.359036803,0.170038,0.133237779,0,0.172247883,0.12363629,0.086878061,0.189050436,0.227074064,0.058225632,0.174001135,0.117429517,0.127545394,0.156370252,0.235740602,0.15281412,0.134206772,0.214866184,0.151994497
L13-0243,0.084078617,0.16251836,0.160176964,0.172826499,0.196903504,0.137677472,0.197919607,0.126409959,0.079657972,1,0.17724698,0.185779508,0.098512322,0.205115307,0.5,0.137651637,0.134630561,0.186284587,0,0.257712826,0.09694171,0.148129717,0.160176964,0.242081434,0.088299841,0.191849887,0.145583209,0.168121755,0.159315944,0.142744213,0.104969077,0.159374449,0.139476582,0.214917399,0.117366672,0.134022409,0.150590982,0.212303888,0.198616043,0.083322585,0.121845394,0.266333103,0.166645169,0.121040717,0.153946884,0.098451752,0.079657972,0.186036497,0.113320682,0.218324509,0.11011932,0.168372765,0.197919607,0.048470855,0.107440412,0.098512322,0.137651637,0.118797287,0.179724053,0.184524097,0.118117675,0,0.179805204,0.233453244,0.273344219,0.259321988,0,0.212176275,0.127835639,0.159374449,0.20796112,0.197470665,0.157936603,0.166057885,0.138280738,0.173837569,0.137651637,0.116039,0.139122769,0.142744213,0.197919607,0.14967859,0.102904629,0.187098874,0.215640411,0,0.125266612,0.194711627,0.176447758,0.142736554,0.142761953,0.130898982,0,0.170683054,0.167836644,0.084060878,0.131150454,0.210975323,0.048470855,0.18251263,0.160085965,0.145583209,0.165197477,0.207033247,0.225738034,0.126157165,0.208985981,0.18190676
