VARIETY,FIBER,MSTWT,POPN,TRS_TON,TCA,T_SPACRE
1965357,13.34027178,2.197338754,24607.23252,250.8557273,27.03521282,6781.937975
1970321,12.15168152,2.190159432,26137.91086,251.70428,28.623096,7204.55577
1972370,12.24627578,2.173161149,26603.65667,253.3033695,28.90701655,7322.244694
1974383,12.17073206,2.143936194,27436.12381,245.8623886,29.41064943,7230.972519
1977042,12.42572079,2.139797291,28445.9238,249.5620442,30.43425534,7595.234977
1982089,12.2465593,2.154745265,26870.55984,252.0723252,28.94960579,7297.394446
1983153,12.12150654,2.134896664,27446.34713,249.9649321,29.29755746,7323.361962
1985384,11.96631812,1.948369355,33741.731,253.4758795,32.87067733,8331.923847
1985845,12.59272773,2.096840869,29798.39052,250.0398408,31.24124154,7811.55506
1986454,12.43797913,2.257740182,24251.89206,249.1973292,27.3772356,6822.333992
1990018,12.59873424,1.957537991,42449.67198,252.1358183,41.5484228,10475.84558
1991555,12.38642741,2.002581158,30752.56053,261.2957148,30.79224914,8045.882749
1994428,12.19670404,2.273181682,28352.49235,265.2460808,32.22518312,8547.603527
1995462,12.43452297,2.299463653,30492.68141,257.1451311,35.05840629,9015.098482
1995988,11.85053578,2.037719446,30926.27739,260.3827386,31.50953841,8204.539905
1996092,12.62389451,2.343144735,32487.33869,256.9240489,38.0612683,9778.855159
1996509,12.49455227,2.326245025,32258.40782,256.5706998,37.52048035,9626.655901
1996540,11.88647581,2.088902089,29075.33735,257.4499576,30.36776646,7818.180189
1996561,12.45354479,2.239333298,33814.28833,262.3423703,37.8607309,9932.473886
1997128,12.23962724,2.108462525,29448.27821,262.6082826,31.04529552,8152.751738
1997137,11.89881094,2.18459941,36204.37881,251.6774279,39.54603229,9952.843691
1997606,12.11785784,2.152851079,41839.27497,254.3366269,45.03686413,11454.52411
1997609,12.16278045,2.264532492,33271.90428,259.2366627,37.67265416,9766.133139
1998207,12.35167825,2.199804745,38125.4765,257.1529026,41.93430206,10783.52749
1998209,12.11701587,2.335214638,31887.76205,262.7794134,37.23238436,9783.904121
1998718,11.68863057,2.365930641,41565.76359,255.3021254,49.17085685,12553.42426
1998734,11.78844775,2.37237056,41442.19318,252.592242,49.15811952,12416.95962
1998741,12.37218447,2.523327583,40203.38343,251.3543145,50.72315317,12749.48339
1998771,11.70961338,2.433399641,40329.68288,253.896123,49.06911792,12458.4588
1998776,12.10099265,2.423386626,39333.43129,257.3596568,47.66005567,12265.77557
1998778,12.01970303,2.467722312,39560.14642,260.1763873,48.81172799,12699.65905
1998781,12.38818147,2.538211579,38893.03212,255.289782,49.35937223,12600.94338
1999213,12.97385968,2.229842594,42465.13625,248.5828171,47.34528479,11769.22427
1999226,12.06291794,2.389552455,28202.98907,271.8889925,33.69626089,9161.642423
1999231,12.11820499,2.207880294,39019.37118,250.3477628,43.07505036,10783.74249
1999233,12.38731435,1.818826857,35048.98883,272.0754316,31.8740211,8672.138047
1999800,12.78828385,2.509750208,38947.38688,244.1041584,48.87410616,11930.37255
1999804,12.02115187,2.324179107,39271.67733,254.0547574,45.63720597,11594.34929
1999805,11.89110957,2.478055093,39318.94089,241.979456,48.71725086,11788.57386
1999806,12.35507637,2.559757684,38399.11346,248.3012142,49.14621287,12203.06433
1999808,12.16734416,2.206619211,41150.91533,254.6621904,45.40220016,11562.22374
1999815,12.51029079,2.28384665,39468.64069,256.4849532,45.07016141,11559.81824
1999817,12.23456824,2.349021035,39978.08397,251.7138216,46.95468009,11819.14197
