PREFIX,VARIETY,NUMVAR,AVARIETY,STDVARIETY,BAY,CART,CAN,STALK NUM,Cut,Pollen
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
HOCP,2004-847,2004847,HOCP04-847,HoCP04-0847,1,A,1,6,,
L,2023-153,2023153,L23-153,L23-0153,1,A,2,3,,
L,2023-153,2023153,L23-153,L23-0153,1,A,2,3,,
L,2023-153,2023153,L23-153,L23-0153,1,A,2,3,,
L,2006-001,2006001,L06-001,L06-0001,1,A,3,4,,
L,2006-001,2006001,L06-001,L06-0001,1,A,3,4,,
L,2006-001,2006001,L06-001,L06-0001,1,A,3,4,,
L,2006-001,2006001,L06-001,L06-0001,1,A,3,4,,
HO,2011-532,2011532,HO11-532,Ho11-0532,1,A,4,5,,
HO,2011-532,2011532,HO11-532,Ho11-0532,1,A,4,5,,
HO,2011-532,2011532,HO11-532,Ho11-0532,1,A,4,5,,
HO,2011-532,2011532,HO11-532,Ho11-0532,1,A,4,5,,
HO,2011-532,2011532,HO11-532,Ho11-0532,1,A,4,5,,
L,2012-202,2012202,L12-202,L12-0202,1,A,5,5,,
L,2012-202,2012202,L12-202,L12-0202,1,A,5,5,,
L,2012-202,2012202,L12-202,L12-0202,1,A,5,5,,
L,2012-202,2012202,L12-202,L12-0202,1,A,5,5,,
L,2012-202,2012202,L12-202,L12-0202,1,A,5,5,,
HOCP,1992-624,1992624,HOCP92-624,HoCP92-0624,1,A,6,4,,
HOCP,1992-624,1992624,HOCP92-624,HoCP92-0624,1,A,6,4,,
HOCP,1992-624,1992624,HOCP92-624,HoCP92-0624,1,A,6,4,,
HOCP,1992-624,1992624,HOCP92-624,HoCP92-0624,1,A,6,4,,
HOCP,2017-701,2017701,HOCP17-701,HoCP17-0701,1,A,7,4,,
HOCP,2017-701,2017701,HOCP17-701,HoCP17-0701,1,A,7,4,,
HOCP,2017-701,2017701,HOCP17-701,HoCP17-0701,1,A,7,4,,
HOCP,2017-701,2017701,HOCP17-701,HoCP17-0701,1,A,7,4,,
L,2010-147,2010147,L10-147,L10-0147,1,A,8,4,,
L,2010-147,2010147,L10-147,L10-0147,1,A,8,4,,
L,2010-147,2010147,L10-147,L10-0147,1,A,8,4,,
L,2010-147,2010147,L10-147,L10-0147,1,A,8,4,,
L,2020-065,2020065,L20-065,L20-0065,1,A,9,4,,
L,2020-065,2020065,L20-065,L20-0065,1,A,9,4,,
L,2020-065,2020065,L20-065,L20-0065,1,A,9,4,,
L,2020-065,2020065,L20-065,L20-0065,1,A,9,4,,
L,2015-306,2015306,L15-306,L15-0306,1,A,10,4,,
L,2015-306,2015306,L15-306,L15-0306,1,A,10,4,,
L,2015-306,2015306,L15-306,L15-0306,1,A,10,4,,
L,2015-306,2015306,L15-306,L15-0306,1,A,10,4,,
HOCP,1996-540,1996540,HOCP96-540,HoCP96-0540,1,A,11,4,,
HOCP,1996-540,1996540,HOCP96-540,HoCP96-0540,1,A,11,4,,
HOCP,1996-540,1996540,HOCP96-540,HoCP96-0540,1,A,11,4,,
HOCP,1996-540,1996540,HOCP96-540,HoCP96-0540,1,A,11,4,,
L,1999-226,1999226,L99-226,L99-0226,1,A,12,3,,
L,1999-226,1999226,L99-226,L99-0226,1,A,12,3,,
L,1999-226,1999226,L99-226,L99-0226,1,A,12,3,,
Z,1999-226,1999226,ZASTRIPED,ZASTRIPED,1,A,13,6,,
Z,1999-226,1999226,ZASTRIPED,ZASTRIPED,1,A,13,6,,
Z,1999-226,1999226,ZASTRIPED,ZASTRIPED,1,A,13,6,,
Z,1999-226,1999226,ZASTRIPED,ZASTRIPED,1,A,13,6,,
